Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
APT Farming,90,1,0.981,9.9363,981.00
APT Farming,90,1,0.8549,9.4908,854.90
EB Field - Plot 12 Guard 1,90,1,0.7962,9.2680,796.20
EB Field - Plot 12 Guard 1,90,1,0.9036,9.6680,903.60
EB Field - Plot 24 Guard 2,90,1,0.6769,8.7800,676.90
Salmons,90,1,0.6976,8.8689,697.60
Early Baker,17.5,1,0.004,1.5874,4.00
Early Baker,17.5,1,0.0044,1.6386,4.40
A,90,3,1.56,8.0414515,520.00
A,90,2,1.02,7.989569724,510.00
A,90,3,1.58,8.075670855,526.67
A,90,4,2.08,8.0414515,520.00
A,90,4,2.23,8.230286554,557.50
A,90,1,0.43,7.547842299,430.00
A,90,1,0.6,8.434326635,600.00
A,90,1,0.62,8.527018965,620.00
A,90,1,0.48,7.829735266,480.00
A,90,4,1.98,7.910459877,495.00
A,90,2,1,7.937005243,500.00
A,90,4,2.18,8.168309153,545.00
A,90,4,2.138,8.115511604,534.50
EB Field - Plot 12 Guard 2,90,1,0.4008,7.3730,400.80
EB Field - Plot 12 Guard 2,90,1,0.4094,7.4250,409.40
EB Field - Plot 12 Guard 2,90,1,0.4975,7.9240,497.50
EB Field - Plot 12 Guard 2,90,1,0.5263,8.0740,526.30
EB Field - Plot 12 Guard 2,90,1,0.5433,8.1600,543.30
EB Field - Plot 12 Guard 1,90,1,0.558,8.2330,558.00
EB Field - Plot 12 Guard 1,90,1,0.6105,8.4830,610.50
EB Field - Plot 12 Guard 1,90,1,0.6612,8.7120,661.20
EB Field - Plot 24 Guard 1,90,1,0.3718,7.1910,371.80
EB Field - Plot 24 Guard 1,90,1,0.4234,7.5090,423.40
EB Field - Plot 24 Guard 1,90,1,0.494,7.9050,494.00
EB Field - Plot 24 Guard 1,90,1,0.5275,8.0800,527.50
EB Field - Plot 24 Guard 2,90,1,0.4844,7.8540,484.40
EB Field - Plot 24 Guard 2,90,1,0.5094,7.9860,509.40
EB Field - Plot 24 Guard 2,90,1,0.577,8.3250,577.00
EB Field - Plot 24 Guard 2,90,1,0.6239,8.5450,623.90
EB Field - Plot 1 Guard 2,90,1,0.3752,7.2130,375.20
EB Field - Plot 1 Guard 2,90,1,0.3988,7.3610,398.80
EB Field - Plot 1 Guard 2,90,1,0.4579,7.7080,457.90
EB Field - Plot 1 Guard 1,90,1,0.4439,7.6280,443.90
EB Field - Plot 1 Guard 1,90,1,0.5512,8.1990,551.20
EB Field - Plot 1 Guard 1,90,1,0.5729,8.3050,572.90
APT Farming 2,90,1,0.5964,8.4174,596.40
APT Farming 2,90,1,0.6059,8.4619,605.90
APT Farming 2,90,1,0.4777,7.8172,477.70
APT Farming 2,90,1,0.5062,7.9697,506.20
APT Farming 2,90,1,0.6175,8.5155,617.50
APT Farming 2,90,1,0.5123,8.0016,512.30
APT Farming 3,90,1,0.761,9.1298,761.00
Park Farm,90,1,0.7014,8.8850,701.40
Park Farm,90,1,0.4987,7.9301,498.70
Park Farm,90,1,0.6278,8.5626,627.80
Park Farm,90,1,0.5799,8.3391,579.90
Park Farm,90,1,0.5127,8.0036,512.70
Early Baker,17.5,1,0.0029,1.4260,2.90
Early Baker,17.5,1,0.0064,1.8566,6.40
Salmons,90,1,0.4809,7.8346,480.90
Salmons,90,1,0.4249,7.5179,424.90
Salmons,90,1,0.4163,7.4668,416.30
Salmons,90,1,0.5119,7.9995,511.90
A,82.5,4,1.5,7.211247837,375.00
A,82.5,1,0.4,7.368062983,400.00
A,82.5,4,1.52,7.243156429,380.00
A,82.5,4,1.82,7.691371665,455.00
A,82.5,4,1.74,7.576984836,435.00
A,82.5,4,1.53,7.259005837,382.50
A,82.5,5,1.65,6.910423217,330.00
A,82.5,4,1.58,7.337233907,395.00
A,82.5,1,0.52,8.0414515,520.00
A,82.5,8,3.31,7.451539387,413.75
A,82.5,2,0.78,7.30614356,390.00
A,82.5,8,3.28,7.428958827,410.00
A,82.5,4,1.84,7.719442614,460.00
A,82.5,5,2.32,7.741753265,464.00
EB Field - Dig 1,17.5,1,0.0034,1.5040,3.40
EB Field - Dig 1,17.5,1,0.0038,1.5600,3.80
EB Field - Dig 2,17.5,1,0.0025,1.3570,2.50
EB Field - Dig 2,17.5,1,0.0036,1.5330,3.60
EB Field - Dig 1,22.5,1,0.0075,1.9570,7.50
EB Field - Dig 1,22.5,1,0.0094,2.1100,9.40
EB Field - Dig 1,27.5,1,0.0137,2.3930,13.70
EB Field - Plot 12 Guard 2,82.5,1,0.4495,7.6600,449.50
EB Field - Plot 12 Guard 2,82.5,1,0.4787,7.8230,478.70
EB Field - Plot 12 Guard 1,82.5,1,0.3349,6.9440,334.90
EB Field - Plot 12 Guard 1,82.5,1,0.3684,7.1690,368.40
EB Field - Plot 24 Guard 1,82.5,1,0.327,6.8890,327.00
EB Field - Plot 24 Guard 1,82.5,1,0.335,6.9450,335.00
EB Field - Plot 24 Guard 1,82.5,1,0.4005,7.3710,400.50
EB Field - Plot 24 Guard 1,82.5,1,0.432,7.5600,432.00
EB Field - Plot 24 Guard 1,82.5,1,0.4684,7.7660,468.40
