Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
Water Lane,90,1,0.6155,8.5063,615.5
Water Lane,90,1,0.6025,8.446,602.5
Plumbs,90,1,0.5746,8.3136,574.6
Plumbs,90,1,0.5076,7.977,507.6
Water Lane,82.5,1,0.4938,7.9041,493.8
Water Lane,82.5,1,0.5232,8.0579,523.2
Water Lane,82.5,1,0.3702,7.1803,370.2
Water Lane,82.5,1,0.4365,7.5857,436.5
Water Lane,82.5,1,0.4512,7.6699,451.2
Water Lane,82.5,1,0.5326,8.1059,532.6
Plumbs,82.5,1,0.3939,7.3304,393.9
Plumbs,82.5,1,0.3934,7.3273,393.4
Plumbs,82.5,1,0.3817,7.2539,381.7
Plumbs,82.5,1,0.3531,7.068,353.1
Water Lane,77.5,1,0.2769,6.5179,276.9
Water Lane,77.5,1,0.4058,7.4035,405.8
Water Lane,77.5,1,0.3309,6.9167,330.9
Water Lane,77.5,1,0.3722,7.1933,372.2
Plumbs,77.5,1,0.3451,7.0143,345.1
Plumbs,77.5,1,0.343,7,343
Plumbs,77.5,1,0.3369,6.9583,336.9
Plumbs,77.5,1,0.2924,6.6373,292.4
Plumbs,77.5,1,0.3673,7.1615,367.3
Water Lane,72.5,1,0.2486,6.2878,248.6
Water Lane,72.5,1,0.2031,5.8781,203.1
Water Lane,72.5,1,0.2836,6.5701,283.6
Plumbs,72.5,1,0.2246,6.0786,224.6
Plumbs,72.5,1,0.2773,6.521,277.3
Plumbs,72.5,1,0.2566,6.3546,256.6
Plumbs,72.5,1,0.2934,6.6449,293.4
Plumbs,72.5,1,0.3714,7.1881,371.4
Plumbs,72.5,1,0.2478,6.2811,247.8
Plumbs,72.5,1,0.3034,6.7195,303.4
Plumbs,72.5,1,0.2327,6.1508,232.7
Plumbs,72.5,1,0.3874,7.2899,387.4
Oxford Field,72.5,1,0.2972,6.6734,297.2
Oxford Field,72.5,1,0.2274,6.1038,227.4
Oxford Field,72.5,1,0.3001,6.6951,300.1
Oxford Field,72.5,1,0.3861,7.2817,386.1
Water Lane,67.5,1,0.1888,5.7368,188.8
Water Lane,67.5,1,0.2082,5.9269,208.2
Water Lane,67.5,1,0.1948,5.7969,194.8
Water Lane,67.5,1,0.2787,6.532,278.7
Water Lane,67.5,1,0.2146,5.987,214.6
Plumbs,67.5,1,0.2571,6.3587,257.1
Plumbs,67.5,1,0.166,5.4959,166
Plumbs,67.5,1,0.2749,6.5022,274.9
Plumbs,67.5,1,0.2453,6.2599,245.3
Plumbs,67.5,1,0.252,6.3164,252
