Variety,TID,FID,Grade,MidGrade,TuberCount,Sample_Wght,TuberWght,TrialType,CubeRoot
Soraya,33,29308,grading: 10-20 mm,17.5,7,0.025,3.571428625,FT,1.528553551
Soraya,33,29332,grading: 10-20 mm,17.5,2,0.005,2.499999944,FT,1.357208798
Soraya,33,29356,grading: 10-20 mm,17.5,4,0.015,3.749999916,FT,1.553616241
Soraya,33,29380,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,33,29404,grading: 10-20 mm,17.5,5,0.02,3.999999911,FT,1.587401039
Soraya,33,29428,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,33,29452,grading: 10-20 mm,17.5,4,0.015,3.749999916,FT,1.553616241
Soraya,33,29476,grading: 10-20 mm,17.5,7,0.02,2.857142793,FT,1.418983401
Soraya,33,29500,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,33,29524,grading: 10-20 mm,17.5,6,0.015,2.499999944,FT,1.357208798
Soraya,33,29548,grading: 10-20 mm,17.5,7,0.02,2.857142793,FT,1.418983401
Soraya,33,29572,grading: 10-20 mm,17.5,2,0.01,4.999999888,FT,1.709975933
Soraya,33,29620,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,34,29668,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,34,29690,grading: 10-20 mm,17.5,2,0.015,7.499999832,FT,1.957433805
Soraya,34,29712,grading: 10-20 mm,17.5,3,0.015,4.999999888,FT,1.709975933
Soraya,34,29734,grading: 10-20 mm,17.5,5,0.025,5.000000075,FT,1.709975954
Soraya,34,29756,grading: 10-20 mm,17.5,3,0.01,3.333333259,FT,1.49380157
Soraya,34,29822,grading: 10-20 mm,17.5,5,0.015,2.999999933,FT,1.442249559
Soraya,34,29844,grading: 10-20 mm,17.5,10,0.025,2.500000037,FT,1.357208815
Soraya,34,29866,grading: 10-20 mm,17.5,22,0.075,3.409091045,FT,1.505033614
Soraya,34,29888,grading: 10-20 mm,17.5,6,0.03,4.999999888,FT,1.709975933
Soraya,34,29910,grading: 10-20 mm,17.5,3,0.02,6.666666518,FT,1.882072043
Soraya,34,29932,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,34,29954,grading: 10-20 mm,17.5,11,0.035,3.181818195,FT,1.470816365
Soraya,34,29976,grading: 10-20 mm,17.5,3,0.015,4.999999888,FT,1.709975933
Soraya,45,45828,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,45,45829,grading: 10-20 mm,17.5,5,0.01,1.999999955,FT,1.25992104
Soraya,45,45830,grading: 10-20 mm,17.5,3,0.005,1.666666629,FT,1.185631092
Soraya,45,45831,grading: 10-20 mm,17.5,2,0.01,4.999999888,FT,1.709975933
Soraya,45,45832,grading: 10-20 mm,17.5,4,0.015,3.749999916,FT,1.553616241
Soraya,45,45833,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,45,45834,grading: 10-20 mm,17.5,3,0.01,3.333333259,FT,1.49380157
Soraya,45,45835,grading: 10-20 mm,17.5,3,0.005,1.666666629,FT,1.185631092
Soraya,45,45839,grading: 10-20 mm,17.5,4,0.025,6.250000093,FT,1.842015757
Soraya,45,45840,grading: 10-20 mm,17.5,4,0.02,4.999999888,FT,1.709975933
Soraya,45,45841,grading: 10-20 mm,17.5,12,0.04,3.333333259,FT,1.49380157
Soraya,45,45842,grading: 10-20 mm,17.5,3,0.005,1.666666629,FT,1.185631092
Soraya,45,45843,grading: 10-20 mm,17.5,6,0.02,3.333333259,FT,1.49380157
Soraya,45,45845,grading: 10-20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,46,46197,grading: 10-20 mm,17.5,2,0.025,12.50000019,FT,2.320794426
Soraya,46,46198,grading: 10-20 mm,17.5,7,0.03,4.28571419,FT,1.624330509
Soraya,46,46199,grading: 10-20 mm,17.5,4,0.02,4.999999888,FT,1.709975933
Soraya,46,46200,grading: 10-20 mm,17.5,4,0.015,3.749999916,FT,1.553616241
Soraya,46,46201,grading: 10-20 mm,17.5,5,0.02,3.999999911,FT,1.587401039
Soraya,46,46202,grading: 10-20 mm,17.5,3,0.01,3.333333259,FT,1.49380157
Soraya,46,46204,grading: 10-20 mm,17.5,14,0.045,3.214285842,FT,1.475802239
Soraya,46,46205,grading: 10-20 mm,17.5,12,0.05,4.166666729,FT,1.609148982
Soraya,46,46206,grading: 10-20 mm,17.5,8,0.025,3.125000047,FT,1.462008876
Soraya,46,46207,grading: 10-20 mm,17.5,5,0.02,3.999999911,FT,1.587401039
Soraya,46,46208,grading: 10-20 mm,17.5,4,0.015,3.749999916,FT,1.553616241
Soraya,46,46209,grading: 10-20 mm,17.5,4,0.015,3.749999916,FT,1.553616241
Soraya,46,46210,grading: 10-20 mm,17.5,5,0.02,3.999999911,FT,1.587401039
Soraya,46,46211,grading: 10-20 mm,17.5,3,0.01,3.333333259,FT,1.49380157
Soraya,56,37797,grading: <20 mm,17.5,2,0.01,4.999999888,FT,1.709975933
Soraya,56,43880,grading: <20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,56,37905,grading: <20 mm,17.5,2,0.01,4.999999888,FT,1.709975933
Soraya,56,43884,grading: <20 mm,17.5,2,0.01,4.999999888,FT,1.709975933
Soraya,56,38013,grading: <20 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,39,27354,grading: <25 mm,17.5,1,0.01,9.999999776,FT,2.154434672
Soraya,39,27355,grading: <25 mm,17.5,3,0.02,6.666666518,FT,1.882072043
Soraya,39,27356,grading: <25 mm,17.5,3,0.03,9.999999776,FT,2.154434672
Soraya,39,27357,grading: <25 mm,17.5,5,0.06,11.99999973,FT,2.289428466
Soraya,39,27358,grading: <25 mm,17.5,12,0.08,6.666666518,FT,1.882072043
Soraya,39,27359,grading: <25 mm,17.5,7,0.06,8.57142838,FT,2.046528199
Soraya,39,27360,grading: <25 mm,17.5,2,0.02,9.999999776,FT,2.154434672
Soraya,39,27361,grading: <25 mm,17.5,4,0.04,9.999999776,FT,2.154434672
Soraya,39,27364,grading: <25 mm,17.5,1,0.01,9.999999776,FT,2.154434672
Soraya,39,27365,grading: <25 mm,17.5,1,0.01,9.999999776,FT,2.154434672
Soraya,39,27366,grading: <25 mm,17.5,1,0.01,9.999999776,FT,2.154434672
Soraya,39,27367,grading: <25 mm,17.5,2,0.02,10,FT,2.15443469
Soraya,39,27368,grading: <25 mm,17.5,6,0.03,4.999999888,FT,1.709975933
Soraya,39,27369,grading: <25 mm,17.5,3,0.02,6.666666518,FT,1.882072043
Soraya,39,27370,grading: <25 mm,17.5,5,0.03,5.999999866,FT,1.817120578
Soraya,39,27371,grading: <25 mm,17.5,2,0.01,4.999999888,FT,1.709975933
Soraya,53,41237,grading: <25 mm,17.5,4,0.02,4.999999888,FT,1.709975933
Soraya,53,41262,grading: <25 mm,17.5,6,0.05,8.333333458,FT,2.027400674
Soraya,53,41287,grading: <25 mm,17.5,4,0.025,6.250000093,FT,1.842015757
Soraya,53,41312,grading: <25 mm,17.5,4,0.02,4.999999888,FT,1.709975933
Soraya,53,41337,grading: <25 mm,17.5,3,0.02,6.666666518,FT,1.882072043
Soraya,53,41362,grading: <25 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,53,41387,grading: <25 mm,17.5,6,0.045,7.500000298,FT,1.957433845
Soraya,53,41412,grading: <25 mm,17.5,4,0.02,4.999999888,FT,1.709975933
Soraya,53,41437,grading: <25 mm,17.5,4,0.025,6.250000093,FT,1.842015757
Soraya,53,41462,grading: <25 mm,17.5,4,0.025,6.250000093,FT,1.842015757
Soraya,53,41537,grading: <25 mm,17.5,3,0.015,4.999999888,FT,1.709975933
Soraya,53,41587,grading: <25 mm,17.5,2,0.01,4.999999888,FT,1.709975933
Soraya,53,41637,grading: <25 mm,17.5,1,0.005,4.999999888,FT,1.709975933
Soraya,53,41662,grading: <25 mm,17.5,4,0.03,7.499999832,FT,1.957433805
Soraya,53,41687,grading: <25 mm,17.5,6,0.025,4.166666729,FT,1.609148982
Soraya,53,41712,grading: <25 mm,17.5,4,0.025,6.250000093,FT,1.842015757
Soraya,53,41737,grading: <25 mm,17.5,3,0.015,4.999999888,FT,1.709975933
Soraya,53,41762,grading: <25 mm,17.5,4,0.025,6.250000093,FT,1.842015757
Soraya,53,41787,grading: <25 mm,17.5,5,0.02,3.999999911,FT,1.587401039
Soraya,53,41812,grading: <25 mm,17.5,4,0.03,7.499999832,FT,1.957433805
Soraya,33,29310,grading: 20-30 mm,25,11,0.115,10.45454564,FT,2.186595185
Soraya,33,29334,grading: 20-30 mm,25,1,0.01,9.999999776,FT,2.154434672
Soraya,33,29358,grading: 20-30 mm,25,3,0.045,15.0000006,FT,2.466212105
Soraya,33,29382,grading: 20-30 mm,25,3,0.04,13.33333304,FT,2.371262183
Soraya,33,29406,grading: 20-30 mm,25,10,0.1,10.00000015,FT,2.154434699
Soraya,33,29454,grading: 20-30 mm,25,2,0.025,12.50000019,FT,2.320794426
Soraya,33,29478,grading: 20-30 mm,25,18,0.23,12.77777801,FT,2.337859707
