Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
A,47.5,2,0.16,4.3089,80
A,42.5,50,3.58,4.1524,71.6
A,37.5,25,1.14,3.5726,45.6
A,32.5,7,0.2,3.0571,28.57
A,42.5,33,2.18,4.0425,66.06
A,47.5,3,0.13,3.5124,43.33
A,37.5,18,0.78,3.5124,43.33
A,32.5,12,0.32,2.9876,26.67
A,17.5,11,0.08,1.9375,7.27
A,17.5,9,0.06,1.8821,6.67
A,27.5,1,0.03,3.1072,30
A,52.5,3,0.44,5.2736,146.67
A,52.5,4,0.58,5.2536,145
A,57.5,2,0.32,5.4288,160
A,27.5,2,0.06,3.1072,30
A,32.5,2,0.028,2.4101,14
A,37.5,2,0.12,3.9149,60
A,42.5,11,0.96,4.4357,87.27
A,47.5,1,0.05,3.684,50
A,42.5,45,3.6,4.3089,80
A,47.5,10,0.54,3.7798,54
A,37.5,13,0.66,3.7028,50.77
A,42.5,10,0.76,4.2358,76
A,47.5,7,0.41,3.8835,58.57
A,47.5,3,0.18,3.9149,60
A,17.5,4,0.01,1.3572,2.5
A,47.5,3,0.18,3.9149,60
A,47.5,27,1.62,3.9149,60
A,37.5,3,0.14,3.6003,46.67
A,42.5,19,1.32,4.1109,69.47
A,42.5,13,0.86,4.0444,66.15
A,37.5,5,0.22,3.5303,44
A,17.5,4,0.04,2.1544,10
A,27.5,2,0.06,3.1072,30
A,27.5,6,0.18,3.1072,30
A,37.5,8,0.34,3.4898,42.5
A,42.5,11,0.68,3.954,61.82
A,32.5,3,0.08,2.9876,26.67
A,37.5,6,0.22,3.3222,36.67
A,17.5,2,0.01,1.71,5
A,27.5,2,0.06,3.1072,30
A,52.5,1,0.18,5.6462,180
A,52.5,4,0.5,5,125
A,52.5,5,0.58,4.877,116
A,52.5,5,0.68,5.1426,136
A,52.5,6,0.78,5.0658,130
A,52.5,15,2.04,5.1426,136
A,57.5,4,0.8,5.848,200
A,57.5,7,1.24,5.6162,177.14
A,57.5,7,1.38,5.8201,197.14
A,57.5,7,1.4,5.848,200
A,57.5,9,1.48,5.4786,164.44
A,57.5,11,2.04,5.7027,185.45
A,27.5,1,0.03,3.1072,30
A,27.5,4,0.1,2.924,25
A,27.5,2,0.05,2.924,25
A,32.5,3,0.06,2.7144,20
A,32.5,4,0.08,2.7144,20
A,32.5,5,0.1,2.7144,20
A,32.5,2,0.02,2.1544,10
A,42.5,12,1.06,4.4536,88.33
A,47.5,1,0.06,3.9149,60
A,37.5,3,0.16,3.7641,53.33
A,37.5,6,0.3,3.684,50
A,47.5,1,0.06,3.9149,60
A,42.5,23,1.62,4.1298,70.43
A,32.5,4,0.12,3.1072,30
A,52.5,9,1.3,5.2469,144.44
A,52.5,11,1.56,5.2149,141.82
A,57.5,18,3.1,5.5637,172.22
A,57.5,19,3.1,5.4643,163.16
A,27.5,3,0.07,2.8575,23.33
A,27.5,6,0.14,2.8575,23.33
A,32.5,5,0.08,2.5198,16
A,42.5,9,0.64,4.143,71.11
A,37.5,8,0.38,3.6216,47.5
A,32.5,1,0.03,3.1072,30
A,37.5,13,0.58,3.5467,44.62
A,37.5,9,0.4,3.5422,44.44
A,37.5,9,0.4,3.5422,44.44
A,42.5,12,0.78,4.0207,65
A,47.5,3,0.18,3.9149,60
A,42.5,7,0.45,4.0059,64.29
A,42.5,7,0.45,4.0059,64.29
A,37.5,4,0.17,3.4898,42.5
A,42.5,17,1.06,3.9654,62.35
A,47.5,11,0.695,3.9829,63.18
A,47.5,3,0.19,3.9861,63.33
A,32.5,6,0.16,2.9876,26.67
A,37.5,8,0.33,3.4552,41.25
A,47.5,4,0.26,4.0207,65
A,42.5,3,0.18,3.9149,60
A,37.5,1,0.04,3.42,40
A,37.5,1,0.04,3.42,40
A,42.5,5,0.29,3.8709,58
A,47.5,4,0.26,4.0207,65
A,27.5,7,0.16,2.838,22.86
A,32.5,7,0.16,2.838,22.86
A,47.5,19,1.24,4.0261,65.26
A,47.5,11,0.72,4.0301,65.45
A,32.5,4,0.09,2.8231,22.5
A,32.5,9,0.2,2.8114,22.22
A,47.5,3,0.2,4.0548,66.67
A,42.5,7,0.37,3.7529,52.86
A,27.5,2,0.04,2.7144,20
A,52.5,17,1.95,4.8588,114.71
A,52.5,20,2.14,4.7475,107
A,52.5,21,2.4,4.8529,114.29
A,52.5,22,2.74,4.9939,124.55
A,52.5,22,2.76,5.0061,125.45
A,52.5,23,2.51,4.7788,109.13
A,52.5,26,2.99,4.8629,115
A,52.5,28,3.19,4.8478,113.93
A,57.5,7,1.06,5.3301,151.43
A,57.5,8,1.25,5.3861,156.25
A,57.5,8,1.13,5.2079,141.25
A,57.5,10,1.48,5.2896,148
A,57.5,10,1.41,5.2048,141
A,57.5,10,1.37,5.1551,137
A,57.5,12,1.81,5.3231,150.83
A,57.5,12,1.88,5.3909,156.67
A,32.5,7,0.14,2.7144,20
A,32.5,2,0.1,3.684,50
A,47.5,6,0.4,4.0548,66.67
A,47.5,6,0.4,4.0548,66.67
A,17.5,2,0.02,2.1544,10
A,27.5,4,0.08,2.7144,20
A,37.5,15,0.68,3.5657,45.33
A,47.5,32,2.145,4.0622,67.03
A,47.5,5,0.34,4.0817,68
A,42.5,4,0.26,4.0207,65
A,42.5,8,0.52,4.0207,65
A,42.5,16,1.04,4.0207,65
A,42.5,7,0.44,3.976,62.86
A,47.5,6,0.41,4.0883,68.33
A,27.5,1,0.02,2.7144,20
A,47.5,12,0.84,4.1213,70
A,32.5,8,0.2,2.924,25
A,47.5,2,0.14,4.1213,70
A,37.5,5,0.2,3.42,40
A,42.5,7,0.4,3.8517,57.14
A,37.5,11,0.42,3.3673,38.18
A,42.5,26,1.46,3.8294,56.15
