Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
A,62.5,6,1.36,6.097,226.67
A,62.5,1,0.23,6.127,230
A,62.5,12,2.47,5.904,205.83
A,62.5,12,2.56,5.975,213.33
A,62.5,4,1.06,6.423,265
A,62.5,10,2.45,6.257,245
A,62.5,3,0.58,5.782,193.33
A,62.5,13,2.95,6.099,226.92
A,62.5,9,1.93,5.986,214.44
A,62.5,7,1.51,5.997,215.71
A,62.5,8,1.69,5.956,211.25
A,62.5,4,0.69,5.567,172.5
A,62.5,4,0.96,6.214,240
A,62.5,8,1.52,5.749,190
A,62.5,2,0.53,6.423,265
A,62.5,3,0.65,6.006,216.67
A,62.5,4,0.97,6.236,242.5
A,42.5,13,0.96,4.195,73.85
A,57.5,24,4.25,5.616,177.08
A,72.5,4,1.48,7.179,370
A,37.5,3,0.14,3.6,46.67
A,52.5,28,3.86,5.166,137.86
A,67.5,10,2.94,6.649,294
A,32.5,3,0.1,3.218,33.33
A,47.5,14,1.37,4.608,97.86
A,62.5,12,2.77,6.134,230.83
A,67.5,1,0.26,6.383,260
A,27.5,12,0.23,2.676,19.17
A,42.5,35,2.31,4.041,66
A,57.5,2,0.3,5.313,150
A,22.5,3,0.04,2.371,13.33
A,37.5,31,1.42,3.578,45.81
A,52.5,13,1.57,4.943,120.77
A,17.5,3,0.02,1.882,6.67
A,32.5,23,0.74,3.181,32.17
A,47.5,25,2.13,4.4,85.2
A,37.5,13,0.6,3.587,46.15
A,52.5,16,1.83,4.854,114.38
A,32.5,8,0.22,3.018,27.5
A,47.5,26,2.33,4.475,89.62
A,62.5,3,0.62,5.912,206.67
A,27.5,3,0.06,2.714,20
A,42.5,17,1.14,4.063,67.06
A,57.5,4,0.56,5.192,140
A,57.5,4,0.54,5.13,135
A,22.5,8,0.08,2.154,10
A,37.5,35,1.52,3.515,43.43
A,52.5,5,0.62,4.987,124
A,32.5,18,0.5,3.029,27.78
A,47.5,20,1.7,4.397,85
A,62.5,1,0.23,6.127,230
A,27.5,14,0.25,2.614,17.86
A,42.5,22,1.4,3.992,63.64
A,57.5,14,2.5,5.631,178.57
A,37.5,6,0.3,3.684,50
A,52.5,18,2.47,5.158,137.22
A,32.5,5,0.2,3.42,40
A,47.5,14,1.5,4.75,107.14
A,42.5,11,0.82,4.209,74.55
A,42.5,27,2.02,4.214,74.81
A,57.5,3,0.5,5.503,166.67
A,37.5,28,1.55,3.811,55.36
A,52.5,12,1.78,5.294,148.33
A,32.5,17,0.55,3.186,32.35
A,47.5,28,2.8,4.642,100
A,42.5,20,1.55,4.264,77.5
A,57.5,12,2.22,5.698,185
A,37.5,15,0.82,3.795,54.67
A,52.5,25,3.38,5.132,135.2
A,32.5,14,0.47,3.226,33.57
A,47.5,31,3.18,4.681,102.58
A,47.5,34,3.3,4.596,97.06
A,42.5,29,2.08,4.155,71.72
A,57.5,6,1.1,5.681,183.33
A,37.5,25,1.35,3.78,54
A,52.5,16,2.23,5.185,139.38
A,32.5,20,0.7,3.271,35
A,32.5,11,0.35,3.169,31.82
A,47.5,33,3.23,4.609,97.88
A,42.5,30,2.18,4.173,72.67
A,57.5,13,2.15,5.489,165.38
A,37.5,23,1.18,3.716,51.3
A,52.5,21,2.73,5.066,130
A,32.5,14,0.48,3.249,34.29
A,47.5,37,3.68,4.633,99.46
A,42.5,28,2.1,4.217,75
A,57.5,10,1.6,5.429,160
A,37.5,17,0.95,3.823,55.88
A,52.5,18,2.45,5.144,136.11
A,37.5,15,0.7,3.6,46.67
A,52.5,18,2.1,4.886,116.67
A,32.5,18,0.55,3.126,30.56
A,47.5,20,1.85,4.523,92.5
A,42.5,16,1.13,4.134,70.63
A,57.5,8,1.35,5.526,168.75
A,37.5,22,1.25,3.844,56.82
A,52.5,16,2.02,5.017,126.25
A,32.5,14,0.45,3.18,32.14
A,47.5,36,3.6,4.642,100
A,42.5,36,2.77,4.253,76.94
A,57.5,5,0.9,5.646,180
A,37.5,43,2.18,3.701,50.7
A,52.5,10,1.35,5.13,135
A,32.5,28,0.6,2.778,21.43
A,47.5,30,3.45,4.863,115
A,42.5,49,3.4,4.109,69.39
A,32.5,4,0.08,2.714,20
A,47.5,26,2.7,4.7,103.85
A,42.5,16,1.15,4.158,71.88
A,57.5,18,3.3,5.681,183.33
A,37.5,10,0.6,3.915,60
A,52.5,21,2.77,5.09,131.9
A,32.5,6,0.18,3.107,30
A,47.5,23,2.25,4.608,97.83
A,42.5,18,1.3,4.164,72.22
