Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight,,
A,82.5,2,1.32,8.7,660.0,,
A,92.5,3,1.9,8.6,633.3,,
A,92.5,3,1.88,8.6,626.7,,
A,92.5,1,0.62,8.5,620.0,,
A,92.5,1,0.62,8.5,620.0,,
A,92.5,1,0.58,8.3,580.0,,
A,92.5,2,1.14,8.3,570.0,,
A,82.5,3,1.6,8.1,533.3,,
A,82.5,4,2.08,8,520.0,,
A,82.5,4,2.08,8,520.0,,
A,92.5,2,1.04,8,520.0,,
A,82.5,10,5.16,8,516.0,,
A,82.5,10,5.16,8,516.0,,
A,82.5,4,1.94,7.9,485.0,,
A,82.5,3,1.38,7.7,460.0,,
A,82.5,2,0.92,7.7,460.0,,
A,77.5,2,0.9,7.6631,450.0,,
A,82.5,2,0.9,7.7,450.0,,
A,82.5,2,0.9,7.7,450.0,,
A,77.5,5,2.16,7.5595,432.0,,
A,77.5,5,2.16,7.5595,432.0,,
A,77.5,6,2.56,7.5283,426.7,,
A,77.5,6,2.56,7.5283,426.7,,
A,77.5,8,3.38,7.5037,422.5,,
A,72.5,4,1.64,7.429,410.0,,
A,72.5,4,1.64,7.429,410.0,,
A,77.5,4,1.64,7.429,410.0,,
A,77.5,8,3.26,7.4138,407.5,,
A,77.5,4,1.62,7.4,405.0,,
A,82.5,3,1.2,7.4,400.0,,
A,82.5,1,0.4,7.4,400.0,,
A,77.5,6,2.38,7.3475,396.7,,
A,72.5,4,1.56,7.3061,390.0,,
A,72.5,2,0.78,7.3061,390.0,,
A,82.5,5,1.94,7.3,388.0,,
A,77.5,3,1.16,7.3,386.7,,
A,77.5,2,0.76,7.2432,380.0,,
A,72.5,7,2.6,7.1883,371.4,,
A,67.5,5,1.84,7.1661,368.0,,
A,77.5,5,1.84,7.1661,368.0,,
A,77.5,5,1.84,7.1661,368.0,,
A,72.5,7,2.5,7.0949,357.1,,
A,67.5,7,2.48,7.0759,354.3,,
A,67.5,7,2.48,7.0759,354.3,,
A,77.5,3,1.06,7.0696,353.3,,
A,67.5,4,1.4,7.047298718,350.0,,
A,77.5,3,1.04,7,346.7,,
A,72.5,9,3.06,6.9795,340.0,,
A,72.5,9,3.06,6.9795,340.0,,
A,77.5,6,2.04,6.9795,340.0,,
A,72.5,4,1.36,6.9795,340.0,,
A,72.5,4,1.36,6.9795,340.0,,
A,72.5,3,1.02,6.9795,340.0,,
A,72.5,2,0.68,6.979532033,340.0,,
A,72.5,1,0.34,6.979532033,340.0,,
A,72.5,13,4.28,6.905,329.2,,
A,77.5,6,1.96,6.8871,326.7,,
A,77.5,6,1.96,6.8871,326.7,,
A,72.5,10,3.26,6.8824,326.0,,
A,72.5,10,3.26,6.8824,326.0,,
A,72.5,4,1.3,6.8753,325.0,,
A,72.5,12,3.88,6.8636,323.3,,
A,67.5,12,3.86,6.85175805,321.7,,
A,72.5,8,2.54,6.822,317.5,,
A,67.5,13,4.1,6.8069,315.4,,
A,67.5,8,2.5,6.786,312.5,,
A,72.5,2,0.62,6.7679,310.0,,
A,72.5,5,1.52,6.724,304.0,,
A,72.5,5,1.52,6.724,304.0,,
A,67.5,12,3.64,6.719,303.3,,
A,72.5,14,4.22,6.704938586,301.4,,
A,72.5,11,3.3,6.6943,300.0,,
A,72.5,3,0.9,6.6943,300.0,,
A,72.5,24,7.08,6.6569,295.0,,
A,72.5,3,0.88,6.6444,293.3,,
A,72.5,3,0.88,6.644369944,293.3,,
A,72.5,3,0.88,6.644369944,293.3,,
A,67.5,11,3.2,6.626,290.9,,
A,72.5,13,3.78,6.625,290.8,,
A,72.5,17,4.94,6.6236,290.6,,
A,72.5,2,0.58,6.6191,290.0,,
A,72.5,18,5.2,6.6106,288.9,,
A,72.5,5,1.44,6.603854485,288.0,,
A,72.5,3,0.86,6.5936,286.7,,
A,67.5,21,5.98,6.579,284.8,,
A,67.5,21,5.98,6.579,284.8,,
A,72.5,10,2.8,6.542132608,280.0,,
A,67.5,6,1.68,6.5421,280.0,,
A,77.5,2,0.56,6.5421,280.0,,
A,77.5,2,0.56,6.5,280.0,,
A,72.5,18,5.02,6.5335,278.9,,
A,72.5,10,2.76,6.5108,276.0,,
A,72.5,13,3.58,6.506,275.4,,
A,67.5,15,4.1,6.4898,273.3,,
A,67.5,15,4.1,6.4898,273.3,,
A,72.5,19,5.18,6.4842,272.6,,
A,67.5,10,2.72,6.4792,272.0,,
A,67.5,4,1.08,6.4633,270.0,,
A,72.5,6,1.6,6.4366,266.7,,
A,72.5,13,3.46,6.432467215,266.2,,
A,67.5,11,2.83,6.3601,257.3,,
A,67.5,18,4.56,6.3275,253.3,,
A,67.5,18,4.56,6.3275,253.3,,
A,67.5,17,4.3,6.3242,252.9,,
A,67.5,5,1.26,6.316359586,252.0,,
A,67.5,1,0.25,6.2996,250.0,,
A,67.5,1,0.25,6.299605249,250.0,,
A,67.5,24,5.98,6.2926,249.2,,
A,67.5,9,2.24,6.2903,248.9,,
A,67.5,16,3.96,6.278536167,247.5,,
A,67.5,17,4.2,6.2748,247.1,,
A,67.5,6,1.48,6.2715,246.7,,
A,72.5,3,0.74,6.271481626,246.7,,
A,62.5,19,4.68,6.2685,246.3,,
A,62.5,19,4.68,6.2685,246.3,,
A,62.5,8,1.96,6.2573,245.0,,
A,67.5,17,4.12,6.2347,242.4,,
A,67.5,17,4.1,6.2246,241.2,,
A,67.5,17,4.1,6.2246,241.2,,
A,67.5,19,4.58,6.2235,241.1,,
A,62.5,19,4.56,6.2145,240.0,,
