Type,MidSize,Count,SampleWeight,CubeRoot,TuberWeight
A,57.5,1,0.185,5.7,185.00
A,57.5,1,0.17,5.54,170.00
A,57.5,3,0.33,4.79,110.00
A,57.5,2,0.22,4.79,110.00
A,57.5,2,0.26,5.07,130.00
A,57.5,2,0.26,5.07,130.00
A,57.5,1,0.13,5.07,130.00
A,52.5,2,0.265,5.1,132.50
A,52.5,1,0.13,5.07,130.00
A,52.5,3,0.485,5.45,161.67
A,52.5,2,0.39,5.8,195.00
A,52.5,4,0.595,5.3,148.75
A,52.5,1,0.155,5.37,155.00
A,52.5,2,0.285,5.22,142.50
A,52.5,5,0.74,5.29,148.00
A,52.5,2,0.33,5.48,165.00
A,52.5,2,0.295,5.28,147.50
A,52.5,2,0.425,5.97,212.50
A,52.5,2,0.345,5.57,172.50
A,52.5,2,0.295,5.28,147.50
A,52.5,3,0.36,4.93,120.00
A,52.5,1,0.145,5.25,145.00
A,52.5,2,0.23,4.86,115.00
A,52.5,2,0.26,5.07,130.00
A,52.5,9,0.85,4.55,94.44
A,52.5,12,1.12,4.54,93.33
A,52.5,32,2.61,4.34,81.56
A,52.5,25,2.12,4.39,84.80
A,52.5,1,0.17,5.54,170.00
A,52.5,3,0.33,4.79,110.00
A,52.5,2,0.22,4.79,110.00
A,52.5,2,0.22,4.79,110.00
A,52.5,6,0.68,4.84,113.33
A,52.5,13,1.52,4.89,116.92
A,52.5,10,1.14,4.85,114.00
A,52.5,15,1.48,4.62,98.67
A,52.5,2,0.21,4.72,105.00
A,52.5,3,0.25,4.37,83.33
A,52.5,5,0.56,4.82,112.00
A,52.5,5,0.59,4.9,118.00
A,52.5,2,0.26,5.07,130.00
A,52.5,1,0.14,5.19,140.00
A,52.5,1,0.16,5.43,160.00
A,52.5,1,0.1,4.64,100.00
Hanger BlackDyke,52.5,1,0.0949,4.561301048,94.90
Hanger BlackDyke,52.5,1,0.0852,4.400275458,85.20
Hanger BlackDyke,52.5,1,0.0867,4.425948591,86.70
A,47.5,2,0.285,5.22,142.50
A,47.5,6,0.64,4.74,106.67
A,47.5,6,0.575,4.58,95.83
A,47.5,4,0.455,4.85,113.75
A,47.5,4,0.435,4.77,108.75
A,47.5,7,0.695,4.63,99.29
A,47.5,3,0.315,4.72,105.00
A,47.5,13,1.365,4.72,105.00
A,47.5,8,0.845,4.73,105.63
A,47.5,1,0.11,4.79,110.00
A,47.5,3,0.3,4.64,100.00
A,47.5,4,0.465,4.88,116.25
A,47.5,4,0.44,4.79,110.00
A,47.5,7,0.805,4.86,115.00
A,47.5,8,0.885,4.8,110.63
A,47.5,14,1.355,4.59,96.79
A,47.5,9,0.92,4.68,102.22
A,47.5,3,0.32,4.74,106.67
A,47.5,8,0.96,4.93,120.00
A,47.5,9,0.88,4.61,97.78
A,47.5,4,0.435,4.77,108.75
A,47.5,11,1.205,4.78,109.55
A,47.5,10,0.985,4.62,98.50
A,47.5,3,0.29,4.59,96.67
A,47.5,9,1.07,4.92,118.89
A,47.5,14,1.525,4.78,108.93
A,47.5,4,0.415,4.7,103.75
A,47.5,7,0.875,5,125.00
A,47.5,1,0.09,4.48,90.00
A,47.5,3,0.285,4.56,95.00
A,47.5,3,0.31,4.69,103.33
A,47.5,8,0.845,4.73,105.63
A,47.5,6,0.525,4.44,87.50
A,47.5,3,0.28,4.54,93.33
A,47.5,4,0.355,4.46,88.75
A,47.5,1,0.085,4.4,85.00
A,47.5,2,0.2,4.64,100.00
A,47.5,2,0.235,4.9,117.50
A,47.5,2,0.22,4.79,110.00
A,47.5,3,0.26,4.43,86.67
A,47.5,3,0.32,4.74,106.67
A,47.5,2,0.26,5.07,130.00
A,47.5,1,0.14,5.19,140.00
A,47.5,9,0.96,4.74,106.67
A,47.5,7,0.66,4.55,94.29
A,47.5,2,0.16,4.31,80.00
A,47.5,5,0.56,4.82,112.00
A,47.5,5,0.56,4.82,112.00
A,47.5,16,1.56,4.6,97.50
A,47.5,14,1.17,4.37,83.57
A,47.5,1,0.08,4.31,80.00
A,47.5,1,0.1,4.64,100.00
A,47.5,2,0.18,4.48,90.00
A,47.5,7,0.63,4.48,90.00
A,47.5,1,0.09,4.48,90.00
A,47.5,3,0.31,4.69,103.33
A,47.5,1,0.12,4.93,120.00
A,47.5,2,1.3,8.66,650.00
A,47.5,1,0.07,4.12,70.00
A,47.5,1,0.09,4.48,90.00
A,47.5,1,0.13,5.07,130.00
A,47.5,1,0.09,4.48,90.00
A,47.5,1,0.08,4.31,80.00
A,47.5,2,0.17,4.4,85.00
A,47.5,7,0.63,4.48,90.00
A,47.5,2,0.18,4.48,90.00
A,47.5,8,0.84,4.72,105.00
A,47.5,10,1.01,4.66,101.00
A,47.5,10,1.03,4.69,103.00
A,47.5,1,0.11,4.79,110.00
A,47.5,6,0.5,4.37,83.33
A,47.5,9,0.88,4.61,97.78
A,47.5,2,0.14,4.12,70.00
A,47.5,2,0.25,5,125.00
